Country,Year,Emission Source,Total Emissions
Malaysia,1994,Biomass,544150.6305229999
Malaysia,1994,Diesel Oil,195560.31887599002
Malaysia,1994,Hard Coal,90331.4471151
Malaysia,1994,Light Oil,861054.1914502
Malaysia,1994,Process,1032275.4599610999
Malaysia,1995,Biomass,538433.272167
Malaysia,1995,Diesel Oil,219013.0038304
Malaysia,1995,Hard Coal,99555.60508410001
Malaysia,1995,Light Oil,973461.2183639001
Malaysia,1995,Process,1079436.2930856
Malaysia,1996,Biomass,534816.7809019999
Malaysia,1996,Diesel Oil,242721.1887046
Malaysia,1996,Hard Coal,99834.7787897
Malaysia,1996,Light Oil,1074107.3893562
Malaysia,1996,Process,1106718.2245975998
Malaysia,1997,Biomass,533719.2695459999
Malaysia,1997,Diesel Oil,227796.76491489998
Malaysia,1997,Hard Coal,79874.37050139999
Malaysia,1997,Light Oil,1250127.7986093
Malaysia,1997,Process,1150302.5894196
Malaysia,1998,Biomass,532799.634494
Malaysia,1998,Diesel Oil,256484.4071837
Malaysia,1998,Hard Coal,86013.47301629998
Malaysia,1998,Light Oil,1443656.7129938998
Malaysia,1998,Process,1186020.1796604
Malaysia,1999,Biomass,525383.0279440001
Malaysia,1999,Diesel Oil,261513.08539170003
Malaysia,1999,Hard Coal,91395.5950909
Malaysia,1999,Light Oil,1607982.1428954003
Malaysia,1999,Process,1043195.2802192
Malaysia,2000,Biomass,535229.4461010001
Malaysia,2000,Diesel Oil,298528.02925970004
Malaysia,2000,Hard Coal,85903.5588488
Malaysia,2000,Light Oil,1857227.9876641002
Malaysia,2000,Process,1037864.6602577999
Malaysia,2001,Biomass,544854.275859
Malaysia,2001,Diesel Oil,321827.1234375
Malaysia,2001,Hard Coal,78551.83128890001
Malaysia,2001,Light Oil,2012775.3540768
Malaysia,2001,Process,1062102.955735
Malaysia,2002,Biomass,554462.9459239999
Malaysia,2002,Diesel Oil,265737.23157709994
Malaysia,2002,Hard Coal,80084.2587682
Malaysia,2002,Light Oil,2100507.9265284
Malaysia,2002,Process,1069861.948855
Malaysia,2003,Biomass,564118.532247
Malaysia,2003,Diesel Oil,279448.8707854
Malaysia,2003,Hard Coal,87295.94227130001
Malaysia,2003,Light Oil,2440959.5013313
Malaysia,2003,Process,1096892.956313
Malaysia,2004,Biomass,573458.59339
Malaysia,2004,Diesel Oil,319435.89313880005
Malaysia,2004,Hard Coal,106828.83166150001
Malaysia,2004,Light Oil,2288265.467517
Malaysia,2004,Process,1136106.1877020001
Malaysia,2005,Biomass,591509.0803370001
Malaysia,2005,Diesel Oil,343736.7993978
Malaysia,2005,Hard Coal,118161.08201839999
Malaysia,2005,Light Oil,2428758.8680765
Malaysia,2005,Process,1146225.833022
Malaysia,2006,Biomass,603862.222805
Malaysia,2006,Diesel Oil,361365.89534
Malaysia,2006,Hard Coal,136288.8949203
Malaysia,2006,Light Oil,2577949.1942568
Malaysia,2006,Process,1201416.322499
Malaysia,2007,Biomass,624232.3044250001
Malaysia,2007,Diesel Oil,383510.66008789995
Malaysia,2007,Hard Coal,193235.75209599998
Malaysia,2007,Light Oil,2735401.4917767
Malaysia,2007,Process,1254719.7506400002
Malaysia,2008,Biomass,637111.2057249999
Malaysia,2008,Diesel Oil,407961.15856119996
Malaysia,2008,Hard Coal,224729.67574329997
Malaysia,2008,Light Oil,2887320.9076668
Malaysia,2008,Process,1360724.525431
Malaysia,2009,Biomass,652594.6299389999
Malaysia,2009,Diesel Oil,381744.32052079996
Malaysia,2009,Hard Coal,235015.71119449998
Malaysia,2009,Light Oil,3061505.1034318
Malaysia,2009,Process,1300038.751394
Malaysia,2010,Biomass,674470.908865
Malaysia,2010,Diesel Oil,428151.62135780003
Malaysia,2010,Hard Coal,248735.48056489998
Malaysia,2010,Light Oil,3185869.550921
Malaysia,2010,Process,1306954.898605
Malaysia,2011,Biomass,672543.9148061001
Malaysia,2011,Diesel Oil,452789.98571380007
Malaysia,2011,Hard Coal,323077.1856725
Malaysia,2011,Light Oil,3366212.6344375
Malaysia,2011,Process,1362409.061556
Malaysia,2012,Biomass,697113.1608065
Malaysia,2012,Diesel Oil,476266.5882826
Malaysia,2012,Hard Coal,351290.2104659
Malaysia,2012,Light Oil,3565989.8023233004
Malaysia,2012,Process,1267664.907174
Malaysia,2013,Biomass,678913.4387161998
Malaysia,2013,Diesel Oil,447798.3501952
Malaysia,2013,Hard Coal,354753.8614919
Malaysia,2013,Light Oil,3386646.3199287006
Malaysia,2013,Process,1202451.295562
Malaysia,2014,Biomass,664660.77928
Malaysia,2014,Diesel Oil,466054.7650171
Malaysia,2014,Hard Coal,475147.1075817001
Malaysia,2014,Light Oil,3556612.3606090997
Malaysia,2014,Process,1199338.957356
Malaysia,2015,Biomass,656716.3751814999
Malaysia,2015,Diesel Oil,539845.308369
Malaysia,2015,Hard Coal,446563.43329970003
Malaysia,2015,Light Oil,2893119.8304126
Malaysia,2015,Process,1284922.983653
Malaysia,2016,Biomass,645753.0183824
Malaysia,2016,Diesel Oil,503333.2139912
Malaysia,2016,Hard Coal,455382.1820731
Malaysia,2016,Light Oil,3023169.990988
Malaysia,2016,Process,1245178.447179
Malaysia,2017,Biomass,642355.4635413
Malaysia,2017,Diesel Oil,557492.0434058
Malaysia,2017,Hard Coal,412252.56160119997
Malaysia,2017,Light Oil,4160795.2355110003
Malaysia,2017,Process,1246846.759232
Malaysia,2018,Biomass,627587.2510700999
Malaysia,2018,Diesel Oil,687843.0547434001
Malaysia,2018,Hard Coal,402803.3678716
Malaysia,2018,Light Oil,4061069.090382
Malaysia,2018,Process,1259135.4216470001
Malaysia,2019,Biomass,619521.2411844
Malaysia,2019,Diesel Oil,575318.0707758
Malaysia,2019,Hard Coal,439924.7993405999
Malaysia,2019,Light Oil,4011676.7810670002
Malaysia,2019,Process,1576976.0147670002
Malaysia,2020,Biomass,610009.4371048999
Malaysia,2020,Diesel Oil,564123.0949110001
Malaysia,2020,Hard Coal,480043.67606370006
Malaysia,2020,Light Oil,4009433.4558449998
Malaysia,2020,Process,1594448.7305470002
Malaysia,2021,Biomass,600883.4612153999
Malaysia,2021,Diesel Oil,589117.1710986999
Malaysia,2021,Hard Coal,530396.723729
Malaysia,2021,Light Oil,3734849.425058
Malaysia,2021,Process,1611588.1593170003
Malaysia,2022,Biomass,599312.7545886999
Malaysia,2022,Diesel Oil,609260.2581903001
Malaysia,2022,Hard Coal,567746.8905264
Malaysia,2022,Light Oil,3567458.1883340003
Malaysia,2022,Process,1628471.062077
Malaysia,2023,Biomass,597638.9733499
Malaysia,2023,Diesel Oil,631665.5807824
Malaysia,2023,Hard Coal,550979.9250686999
Malaysia,2023,Light Oil,3410899.280685
Malaysia,2023,Process,1645206.1565470002
